Location,TFR_1953,NRR_2048,Births_2033,LExMale_2048,IMR_1953,CDR_1978,CDR_2008,CDR_2028,GrowthRate_1988,GrowthRate_1993,GrowthRate_2008,SRB_2008,MAC_1963,MAC_2008,MAC_2038,target
Mauritius,5.895,0.783,64.99,76.68,103.085,6.183,7.11,9.889,0.774,1.334,0.42,1.042,28.731,27.305,29.474,3
Mayotte,7.91,1.214,42.678,83,141.852,7.104,2.652,2.517,5.469,5.242,3.173,1.03,28.676,29.839,29.872,3
Mexico,6.75,0.825,10071.846,80.95,121.17,7.471,4.613,5.361,1.967,1.939,1.568,1.05,29.497,26.908,27.669,2
Micronesia (Fed. States of),7.2,1.048,12.157,70.46,96.506,7.747,6.305,6.523,2.341,2.204,-0.492,1.07,30.22,30.469,31.017,3
Mongolia,5.6,1.027,286.793,70.67,182.897,13.146,6.862,6.895,2.558,1.017,1.422,1.03,31.469,28.517,30.748,1
Montenegro,4.346,0.817,30.795,80.54,120.075,6.786,10.35,10.534,0.032,0.175,0.255,1.08,28.837,28.485,30.399,1
Morocco,6.608,0.907,3001.331,81.14,151.142,12.155,5.479,5.411,1.977,1.692,1.201,1.059,29.233,30.393,30.37,1
Mozambique,7,1.581,7453.08,66.89,220.122,21.999,12.954,7.889,0.401,3.472,2.928,1.03,30.377,28.684,29.591,3
Myanmar,6,0.852,4507.159,67.65,213.036,13.359,8.545,9.075,1.75,1.246,0.679,1.03,29.615,29.8,29.588,3
Namibia,6,1.121,381.273,70.88,171.608,12.034,11.366,6.479,4.173,3.142,1.341,1.03,30.233,29.141,28.215,1
Nepal,5.959,0.799,2437.972,75.34,228.54,19.329,6.954,6.155,2.286,2.641,1.051,1.054,29.485,26.389,26.222,3
Netherlands,3.052,0.879,904.864,85.07,22.996,8.109,8.243,9.605,0.613,0.66,0.382,1.058,29.393,30.658,31.072,2
New Caledonia,5.223,0.886,21.947,80.79,116.66,7.123,5.745,6.911,1.697,2.326,1.518,1.05,30.45,29.28,31.105,1
New Zealand,3.688,0.872,306.499,85.3,26.553,8.081,6.833,7.491,0.78,1.566,1.104,1.056,27.374,29.562,30.712,2
Nicaragua,7.2,0.833,505.061,79.89,172.325,11.34,4.866,5.108,2.22,2.138,1.29,1.05,28.851,26.616,27.578,1
Niger,7.3,2.195,8170.055,67.29,161.864,26.922,13.14,7.361,2.944,3.357,3.748,1.05,29.012,29.087,29.067,3
