Location,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,cluster
Republic of Korea,47.92,51.23,54.84,58.79,63.09,65,67.38,70.34,72.84,74.95,77.17,79.47,81.27,2
Republic of Moldova,59.03,61.07,62.87,64.64,65.17,65.16,65.1,67.53,67.3,66.61,67.62,68.27,70.97,2
Romania,61.14,63.29,67.78,67.34,69.03,69.59,69.73,69.52,69.61,69.7,71.47,73.08,74.84,1
Russian Federation,58.52,64.8,67.88,68.47,68.31,67.57,67.47,69.13,66.58,65.7,64.95,67.14,70.3,2
Rwanda,40.02,41.51,43.02,44.13,44.58,45.79,49.79,48.07,23.72,44.74,50.58,60.05,65.17,4
Réunion,47.86,53.44,57.72,61.38,64.59,67.28,69.64,71.74,73.58,75.28,76.83,78.2,79.54,2
Saint Lucia,52.55,55.18,59.42,61.6,64.53,67.44,69.99,70.75,71.32,71.15,72.07,73.98,74.81,2
Saint Vincent and the Grenadines,51.08,55.12,60.81,63.97,65.86,66.69,68.42,69.61,70.5,70.62,70.71,71.84,72.73,2
Samoa,45.93,48.49,50.99,53.53,56.03,58.54,61.05,63.5,66.17,68.45,70.1,72.05,74.08,5
Sao Tome and Principe,46.4,48.89,51.85,54.39,57.35,60.21,60.59,61.4,62.21,63.01,63.8,65.47,66.14,5
Saudi Arabia,41.94,44.42,46.99,50.24,55.46,60.8,64.91,67.87,69.97,71.72,72.93,73.22,74,5
Senegal,35.47,37.49,38.62,38.42,40.91,46.49,51.27,56.05,57.59,57.24,58.93,62.41,65.71,3
Serbia,59.12,61.6,64.25,66.72,68.53,69.53,70.2,71.14,71.74,71.91,72.36,73.33,74.65,2
Seychelles,57.96,59.41,62.85,64.4,66.99,69.02,70.34,71.09,70.58,71.36,72.11,72.39,72.89,2
Sierra Leone,28.81,29.86,30.98,32.62,36.77,39.7,40.85,39.13,35.95,36.69,41.32,45.88,50.19,4
Singapore,60.23,64.05,66.43,67.24,69.1,71.03,72.89,74.93,76.97,77.67,79.19,81.21,82.34,1
Slovakia,64.43,68.65,70.63,70.32,70.07,70.48,70.63,70.96,71.6,72.74,73.82,74.77,76.31,1
Slovenia,65.61,67.89,69.15,69.19,69.82,70.98,71.23,72.68,73.74,75.26,76.66,78.55,80.31,1
Solomon Islands,45.39,47.91,50.44,52.97,55.52,58.02,58.74,55.84,58.33,61.45,64.69,67.36,69.6,5
Somalia,33.99,35.99,37.97,39.99,41.91,43.8,45.48,46.37,44.96,49.8,51.49,53.18,54.85,4
South Africa,48.52,51.27,53.02,54.84,56.69,57.34,58.35,60.99,62.25,59.2,53.84,53.07,59.49,3
South Sudan,27.93,30.59,32.73,34.88,36.7,38.68,39.45,41.81,45.32,48.17,50.19,52.3,55.06,4
Spain,64.59,67.74,69.91,71.37,72.65,74.4,76.1,76.85,77.62,78.77,79.9,81.21,82.51,1
Sri Lanka,54.51,58.3,60.26,62.92,65.14,66.96,69.08,68.91,70.01,69.06,73.21,74.07,74.63,2
State of Palestine,46.6,48.23,50.76,54.09,57.44,60.99,64.4,67.11,68.85,70.29,71.17,72.03,72.86,5
Sub-Saharan Africa,36.33,38.51,40.74,42.7,44.8,46.76,48.19,49.12,48.87,49.39,50.71,54.29,57.88,4
Sudan,44.54,47.08,49.22,51.24,53.06,54,54.46,55.14,56,57.58,59.37,61.5,63.59,3
Suriname,55.98,58.68,60.51,62.42,64,65.11,66.53,67.13,67.59,67.82,68.06,69.63,70.9,2
Swaziland,41.43,43.47,45.04,46.69,49.61,52.61,56.15,59.66,59.47,52.51,45.96,48.41,54.99,3
Sweden,71.86,72.89,73.5,74.12,74.79,75.34,76.4,77.16,78.17,79.3,80.13,81.06,81.89,1
Switzerland,69.34,70.71,71.59,72.58,73.71,75.19,76.09,77.23,77.93,79.23,80.49,81.78,82.69,1
Syrian Arab Republic,47.6,50.52,53.49,56.85,60.79,64.22,67.18,69.63,71.28,72.54,73.58,74.45,69.87,2
TFYR Macedonia,54.9,58.96,62.12,65.02,67.31,68.45,68.91,70.67,71.54,72.65,73.78,74.17,75.15,2
Tajikistan,53.04,55.12,57.19,59.26,60.84,62.08,63.21,64.11,62.37,64.54,66.46,68.71,70.37,2
Thailand,50.81,53.3,56.05,58.18,60.66,63.31,65.74,69.77,70.15,70.3,71.22,73.15,74.56,2
Timor-Leste,29.97,32.48,34.98,37.49,39.95,31.18,39.91,46.45,50.46,56.99,61.47,66.39,67.74,4
Togo,35.3,38.66,41.9,45.02,48.07,50.93,53.58,55.41,55.78,53.7,53.88,55.8,59.07,3
Tonga,58.65,60.47,62.31,64.03,65.65,66.85,68.08,69.25,69.87,70.47,71.16,71.84,72.51,2
Trinidad and Tobago,57.88,60.82,64.08,64.77,65.45,66.67,67.27,67.75,68.22,68.44,68.68,69.28,70.23,2
Tunisia,38.81,40.73,43.74,48.33,54.08,59.37,64.26,67.14,70.3,72.4,73.71,74.56,75.05,5
Turkey,41.01,43.67,47.21,50.78,53.75,57.05,60.22,63.04,65.49,68.49,71.37,73.37,74.83,5
Turkmenistan,51.29,53.41,55.52,57.61,59.17,60.22,61.77,62.84,62.7,63.18,64.22,65.87,67.3,5
Uganda,40,42.6,45.39,48.12,49.14,49.33,49.05,46.86,44.57,44.98,49.92,55.15,58.61,4
Ukraine,61.82,67.09,69.69,70.67,70.58,69.67,69.17,70.55,68.72,67.35,67.46,67.89,71.11,1
United Arab Emirates,43.86,49.58,54.81,59.7,63.44,66.42,68.81,70.74,72.25,73.59,74.84,75.93,76.71,2
United Kingdom,69.41,70.61,71.04,71.71,72.21,73.01,74.19,75.13,76.24,77.17,78.41,79.69,80.97,1
United Republic of Tanzania,41.25,43.03,44.31,45.83,47.7,49.9,50.64,50.86,49.61,50.06,53.65,58.81,62.78,3
United States Virgin Islands,62.9,65.5,66.83,68.3,69.79,71.15,72.3,73.6,74.82,76.08,77.09,77.82,79.1,1
